sideline_player_id,espn_athlete_id,player_name,position,class_year,jersey,school_id,school,school_slug,conference,nil_value_usd,nil_source,recruit_stars,sideline_overall_rank
5080489,5080489,Thomas Haugh,F,Junior,10,57,Florida,florida,SEC,5000000,public,,4.0
5142731,5142731,Tyran Stokes,,,,2305,Kansas,kansas,Big 12,5000000,public,,6.0
market-benchmark-2390-somto-cyril,,Somto Cyril,,,,2390,Miami (FL),miami-fl,ACC,4000000,public,,8.0
5143604,5143604,JT Toppin,F,Junior,15,2641,Texas Tech,texas-tech,Big 12,4000000,public,,10.0
5142722,5142722,Caleb Holt,,,,12,Arizona,arizona,Big 12,3200000,modeled,,14.0
5116699,5116699,Elijah Davis,G,Senior,6,153,North Carolina,north-carolina,ACC,2100000,modeled,4.0,28.0
4898278,4898278,Nate Johnson,G,Senior,34,2306,Kansas State,kansas-state,Big 12,2100000,modeled,4.0,29.0
5331892,5331892,Calvin Russell III,G,Freshman,,183,Syracuse,syracuse,ACC,2100000,modeled,4.0,30.0
4869770,4869770,Ian Jackson,G,Sophomore,11,2599,St. John's,st-johns,Big East,2100000,modeled,4.0,31.0
4685650,4685650,Christian Jones,G,Sophomore,2,45,George Washington,george-washington,Atlantic 10,2100000,modeled,4.0,32.0
5332074,5332074,Jasen Lopez,G,,8,52,Florida State,florida-state,ACC,2085000,modeled,4.0,33.0
market-benchmark-97-seth-trimble,,Seth Trimble,,,,97,Louisville,louisville,ACC,2049740,modeled,,34.0
5238195,5238195,Boogie Fland,G,Sophomore,0,57,Florida,florida,SEC,2000000,modeled,,41.0
4869762,4869762,Marcus Allen,G,Sophomore,4,2390,Miami (FL),miami-fl,ACC,1999200,modeled,4.0,62.0
5311849,5311849,Devin Brown,G,Freshman,6,2166,Davidson,davidson,Atlantic 10,1950000,modeled,4.0,64.0
5174657,5174657,Alex Condon,F,Junior,21,57,Florida,florida,SEC,1829520,modeled,,66.0
4711255,4711255,Jeremy Fears Jr.,G,Sophomore,1,127,Michigan State,michigan-state,Big Ten,1805760,modeled,,68.0
5176314,5176314,Kevin Overton,G,Junior,1,2,Auburn,auburn,SEC,1768536,modeled,,72.0
4711402,4711402,Jordan Ross,G,Junior,3,61,Georgia,georgia,SEC,1740000,modeled,4.0,73.0
5165275,5165275,Tyler Johnson,G,Sophomore,10,259,Virginia Tech,virginia-tech,ACC,1650000,modeled,4.0,77.0
5254159,5254159,Isaiah Johnson,G,Freshman,2,38,Colorado,colorado,Big 12,1650000,modeled,4.0,78.0
5189257,5189257,Anthony Johnson,G,Senior,2,9,Arizona State,arizona-state,Big 12,1590000,modeled,4.0,80.0
5176387,5176387,Drew Carter,G,Senior,12,2483,Oregon,oregon,Big Ten,1550000,modeled,3.0,84.0
5102798,5102798,James Scott,F,Junior,4,145,Ole Miss,ole-miss,SEC,1550000,modeled,3.0,85.0
5238220,5238220,Jeff Nwankwo,G,Senior,3,201,Oklahoma,oklahoma,SEC,1550000,modeled,3.0,86.0
5174981,5174981,Brandon Williams,G,Sophomore,5,26,UCLA,ucla,Big Ten,1550000,modeled,3.0,87.0
5175069,5175069,Chris Johnson,G,Junior,22,2116,UCF,ucf,Big 12,1550000,modeled,3.0,88.0
4905250,4905250,Mekhi Mason,G,Senior,8,154,Wake Forest,wake-forest,ACC,1550000,modeled,3.0,89.0
5175370,5175370,Mason Williams,G,Junior,2,66,Iowa State,iowa-state,Big 12,1550000,modeled,3.0,90.0
4685683,4685683,Aaron Bradshaw,F,Junior,11,235,Memphis,memphis,American,1550000,modeled,3.0,91.0
4895753,4895753,Jayden Ross,F,Junior,23,41,UConn,uconn,Big East,1550000,modeled,3.0,92.0
5174319,5174319,Mike Williams,G,Junior,23,2550,Seton Hall,seton-hall,Big East,1550000,modeled,3.0,93.0
5182412,5182412,Tyler Perkins,G,Junior,4,222,Villanova,villanova,Big East,1550000,modeled,3.0,94.0
5107222,5107222,Xavier Brown,G,Senior,0,58,South Florida,south-florida,American,1510000,modeled,3.0,96.0
5061597,5061597,Jaden Smith,C,Sophomore,10,2603,Saint Joseph's,saint-josephs,Atlantic 10,1500000,modeled,4.0,114.0
5312013,5312013,Evan Smith,G,Junior,32,153,North Carolina,north-carolina,ACC,1475600,modeled,3.0,116.0
5174956,5174956,Jackson Cook,G,Sophomore,11,12,Arizona,arizona,Big 12,1475600,modeled,3.0,117.0
5257084,5257084,Donovan Brown,G,Senior,10,113,Massachusetts,massachusetts,MAC,1410000,modeled,3.0,120.0
5105634,5105634,Jaylen Thompson,F,Sophomore,24,24,Stanford,stanford,ACC,1300500,modeled,3.0,124.0
5105486,5105486,Chendall Weaver,G,Senior,2,251,Texas,texas,SEC,1250000,modeled,,131.0
4896862,4896862,Ali Dibba,G,Senior,6,245,Texas A&M,texas-am,SEC,1250000,modeled,,133.0
4702000,4702000,PJ Carter,G,Senior,7,99,LSU,lsu,SEC,1250000,modeled,,134.0
4701846,4701846,Puff Johnson,G,Senior,6,194,Ohio State,ohio-state,Big Ten,1250000,modeled,,136.0
4897332,4897332,Grant Hurst,G,Senior,7,2633,Tennessee,tennessee,SEC,1250000,modeled,,137.0
5101623,5101623,Markus Burton,G,Junior,3,87,Notre Dame,notre-dame,ACC,1250000,modeled,,138.0
4684276,4684276,Aden Holloway,G,Junior,2,333,Alabama,alabama,SEC,1250000,modeled,,140.0
5176737,5176737,Tayton Conerway,G,Senior,6,84,Indiana,indiana,Big Ten,1250000,modeled,,141.0
4898190,4898190,Ryan Cornish,G,Senior,9,30,USC,usc,Big Ten,1250000,modeled,,142.0
4869764,4869764,Elliot Cadeau,G,Junior,3,130,Michigan,michigan,Big Ten,1250000,modeled,,143.0
5105527,5105527,Denzel Aberdeen,G,Senior,1,96,Kentucky,kentucky,SEC,1250000,modeled,,144.0
5105537,5105537,Shawn Phillips Jr.,C,Senior,15,142,Missouri,missouri,SEC,1250000,modeled,,145.0
4585590,4585590,Alyn Breed,G,Senior,7,152,NC State,nc-state,ACC,1250000,modeled,,147.0
4433616,4433616,Frankie Collins,G,Senior,1,238,Vanderbilt,vanderbilt,SEC,1250000,modeled,,148.0
4683777,4683777,D.J. Wagner,G,Junior,21,8,Arkansas,arkansas,SEC,1250000,modeled,,149.0
5105619,5105619,Jayden Pierre,G,Senior,1,2628,TCU,tcu,Big 12,1250000,modeled,,150.0
5108023,5108023,David Coit,G,Senior,8,120,Maryland,maryland,Big Ten,1250000,modeled,,151.0
4888733,4888733,Chas Kelley III,G,Senior,7,59,Georgia Tech,georgia-tech,ACC,1250000,modeled,,152.0
5176232,5176232,Sam Lewis,G,Junior,5,258,Virginia,virginia,ACC,1250000,modeled,,153.0
5241273,5241273,Obi Agbim,G,Senior,5,239,Baylor,baylor,Big 12,1250000,modeled,,154.0
4711256,4711256,Caleb Foster,G,Junior,1,150,Duke,duke,ACC,1250000,modeled,,155.0
5121952,5121952,AJ Redd,G,Senior,5,356,Illinois,illinois,Big Ten,1250000,modeled,,156.0
5177104,5177104,Jasper Floyd,G,Senior,1,277,West Virginia,west-virginia,Big 12,1250000,modeled,,157.0
4702626,4702626,Dawson Baker,G,Senior,25,252,BYU,byu,Big 12,1250000,modeled,,158.0
5239504,5239504,Jack Lusk,G,Junior,9,2509,Purdue,purdue,Big Ten,1250000,modeled,,159.0
5105606,5105606,Desmond Claude,G,Senior,1,264,Washington,washington,Big Ten,1250000,modeled,,160.0
5107857,5107857,Langston Reynolds,G,Senior,6,135,Minnesota,minnesota,Big Ten,1250000,modeled,,161.0
4903216,4903216,Don McHenry,G,Senior,3,254,Utah,utah,Big 12,1250000,modeled,,162.0
4897148,4897148,Kirk Cole,G,Senior,7,197,Oklahoma State,oklahoma-state,Big 12,1250000,modeled,,163.0
5241363,5241363,Tavion Banks,G,Senior,6,2294,Iowa,iowa,Big Ten,1250000,modeled,,164.0
4432926,4432926,Dishon Jackson,C,Senior,1,221,Pittsburgh,pittsburgh,ACC,1250000,modeled,,165.0
4708176,4708176,Ramon Walker Jr.,G,Senior,3,248,Houston,houston,Big 12,1250000,modeled,,166.0
5105790,5105790,Sencire Harris,G,Junior,5,2132,Cincinnati,cincinnati,Big 12,1250000,modeled,,167.0
4706918,4706918,Chase Forte,G,Senior,9,103,Boston College,boston-college,ACC,1250000,modeled,,168.0
4592579,4592579,Steele Venters,G,Senior,2,2250,Gonzaga,gonzaga,Pac-12,1250000,modeled,,170.0
5105454,5105454,Malik Messina-Moore,G,Senior,1,2752,Xavier,xavier,Big East,1250000,modeled,,171.0
4895745,4895745,Tre Norman,G,Junior,5,269,Marquette,marquette,Big East,1250000,modeled,,172.0
4845358,4845358,Layden Blocker,G,Junior,2,305,DePaul,depaul,Big East,1250000,modeled,,173.0
5175171,5175171,Quentin Jones,G,Junior,1,139,Saint Louis,saint-louis,Atlantic 10,1250000,modeled,,174.0
5106863,5106863,Nik Graves,G,Senior,5,156,Creighton,creighton,Big East,1250000,modeled,,175.0
5105419,5105419,Cade Bennett,G,Junior,22,2608,Saint Mary's,saint-marys,West Coast,1250000,modeled,,176.0
5241480,5241480,Fatt Hill,G,Senior,5,2244,George Mason,george-mason,Atlantic 10,1250000,modeled,,177.0
5175064,5175064,Jason Edwards,G,Senior,1,2507,Providence,providence,Big East,1250000,modeled,,178.0
4702764,4702764,Vukasin Masic,G,Senior,7,2539,San Francisco,san-francisco,West Coast,1250000,modeled,,179.0
5109019,5109019,Andrew Rohde,G,Senior,7,275,Wisconsin,wisconsin,Big Ten,1231000,modeled,,180.0
5252606,5252606,Nic Anderson,G,Freshman,8,2350,Loyola Chicago,loyola-chicago,Atlantic 10,1230000,modeled,4.0,181.0
4895746,4895746,Jayden Reid,G,Junior,4,77,Northwestern,northwestern,Big Ten,1205000,modeled,,189.0
